[2022-06-04 23:20:12,382] Register - Step 01: Navigate to Register Page
[INFO ] [2022-06-04 23:51:00,662] Register - Step 01: Navigate to Register Page
[INFO ] [2022-06-04 23:51:01,727] Register - Step 02: Enter to FirstName Textbox with value is 'Automation
[INFO ] [2022-06-04 23:51:02,059] Register - Step 03: Enter to LastName Textbox with value is 'FC
[INFO ] [2022-06-04 23:51:02,208] Register - Step 04: Enter to EmailAddress Textbox with value is 'afc8010@gmail.us
[INFO ] [2022-06-04 23:51:02,369] Register - Step 05: Enter to Password Textbox with value is '123456
[INFO ] [2022-06-04 23:51:02,484] Register - Step 06: Enter to Confirm Password Textbox with value is '123456
[INFO ] [2022-06-04 23:51:02,650] Register - Step 07: Click To Register Button
[INFO ] [2022-06-04 23:51:03,673] Register - Step 08: Verify Register successful Message is displayed
[INFO ] [2022-06-04 23:51:03,790]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-06-04 23:51:03,792] Register - Step 09: Click To Logout Link
[INFO ] [2022-06-04 23:51:04,753] Login - Step 01: Navigate To Login Page
[INFO ] [2022-06-04 23:51:05,494] Login - Step 02: Enter to emailAddress Textbox with value is 'afc8010@gmail.us
[INFO ] [2022-06-04 23:51:05,618] Login - Step 03: Enter to Password Textbox with value is '123456
[INFO ] [2022-06-04 23:51:05,724] Login - Step 04: Click To Login Button
[INFO ] [2022-06-04 23:51:06,638] Login - Step 05: Verify 'My Account' Link is Displayed
[INFO ] [2022-06-04 23:51:06,762]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-06-04 23:51:06,762] Login - Step 06: Navigate To 'My Account' Page
[INFO ] [2022-06-04 23:51:07,410] Login - Step 07: Verify 'Customer Infor Page' is displayed
[INFO ] [2022-06-04 23:51:07,523]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-06-04 23:56:56,356] Register - Step 01: Navigate to Register Page
[INFO ] [2022-06-04 23:56:57,235] Register - Step 02: Enter to FirstName Textbox with value is 'Automation
[INFO ] [2022-06-04 23:56:57,450] Register - Step 03: Enter to LastName Textbox with value is 'FC
[INFO ] [2022-06-04 23:56:57,667] Register - Step 04: Enter to EmailAddress Textbox with value is 'afc7765@gmail.us
[INFO ] [2022-06-04 23:56:57,863] Register - Step 05: Enter to Password Textbox with value is '123456
[INFO ] [2022-06-04 23:56:58,013] Register - Step 06: Enter to Confirm Password Textbox with value is '123456
[INFO ] [2022-06-04 23:56:58,173] Register - Step 07: Click To Register Button
[INFO ] [2022-06-04 23:56:59,199] Register - Step 08: Verify Register successful Message is displayed
[INFO ] [2022-06-04 23:56:59,290]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-06-04 23:56:59,292] Register - Step 09: Click To Logout Link
[INFO ] [2022-06-04 23:57:00,242] Login - Step 01: Navigate To Login Page
[INFO ] [2022-06-04 23:57:01,050] Login - Step 02: Enter to emailAddress Textbox with value is 'afc7765@gmail.us
[INFO ] [2022-06-04 23:57:01,214] Login - Step 03: Enter to Password Textbox with value is '123456
[INFO ] [2022-06-04 23:57:01,397] Login - Step 04: Click To Login Button
[INFO ] [2022-06-04 23:57:02,367] Login - Step 05: Verify 'My Account' Link is Displayed
[INFO ] [2022-06-04 23:57:02,524]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-06-04 23:57:02,524] Login - Step 06: Navigate To 'My Account' Page
[INFO ] [2022-06-04 23:57:03,283] Login - Step 07: Verify 'Customer Infor Page' is displayed
[INFO ] [2022-06-04 23:57:03,395]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-06-04 23:58:36,772] Register - Step 01: Navigate to Register Page
[INFO ] [2022-06-04 23:58:37,696] Register - Step 02: Enter to FirstName Textbox with value is 'Automation
[INFO ] [2022-06-04 23:58:37,896] Register - Step 03: Enter to LastName Textbox with value is 'FC
[INFO ] [2022-06-04 23:58:38,040] Register - Step 04: Enter to EmailAddress Textbox with value is 'afc615@gmail.us
[INFO ] [2022-06-04 23:58:38,215] Register - Step 05: Enter to Password Textbox with value is '123456
[INFO ] [2022-06-04 23:58:38,334] Register - Step 06: Enter to Confirm Password Textbox with value is '123456
[INFO ] [2022-06-04 23:58:38,455] Register - Step 07: Click To Register Button
[INFO ] [2022-06-04 23:58:39,537] Register - Step 08: Verify Register successful Message is displayed
[INFO ] [2022-06-04 23:58:39,630]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-06-04 23:58:39,631] Register - Step 09: Click To Logout Link
[INFO ] [2022-06-04 23:58:40,541] Login - Step 01: Navigate To Login Page
[INFO ] [2022-06-04 23:58:41,272] Login - Step 02: Enter to emailAddress Textbox with value is 'afc615@gmail.us
[INFO ] [2022-06-04 23:58:41,409] Login - Step 03: Enter to Password Textbox with value is '123456
[INFO ] [2022-06-04 23:58:41,532] Login - Step 04: Click To Login Button
[INFO ] [2022-06-04 23:58:42,499] Login - Step 05: Verify 'My Account' Link is Displayed
[INFO ] [2022-06-04 23:58:42,610]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-06-04 23:58:42,610] Login - Step 06: Navigate To 'My Account' Page
[INFO ] [2022-06-04 23:58:43,314] Login - Step 07: Verify 'Customer Infor Page' is displayed
[INFO ] [2022-06-04 23:58:43,455]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-06-05 00:04:49,263] Register - Step 01: Navigate to Register Page
[INFO ] [2022-06-05 00:04:50,340] Register - Step 02: Enter to FirstName Textbox with value is 'Automation
[INFO ] [2022-06-05 00:04:50,498] Register - Step 03: Enter to LastName Textbox with value is 'FC
[INFO ] [2022-06-05 00:04:50,708] Register - Step 04: Enter to EmailAddress Textbox with value is 'afc1586@gmail.us
[INFO ] [2022-06-05 00:04:50,878] Register - Step 05: Enter to Password Textbox with value is '123456
[INFO ] [2022-06-05 00:04:51,021] Register - Step 06: Enter to Confirm Password Textbox with value is '123456
[INFO ] [2022-06-05 00:04:51,193] Register - Step 07: Click To Register Button
[INFO ] [2022-06-05 00:04:52,274] Register - Step 08: Verify Register successful Message is displayed
[INFO ] [2022-06-05 00:04:52,391]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-06-05 00:04:52,401] Register - Step 09: Click To Logout Link
[INFO ] [2022-06-05 00:04:53,393] Login - Step 01: Navigate To Login Page
[INFO ] [2022-06-05 00:04:54,313] Login - Step 02: Enter to emailAddress Textbox with value is 'afc1586@gmail.us
[INFO ] [2022-06-05 00:04:54,476] Login - Step 03: Enter to Password Textbox with value is '123456
[INFO ] [2022-06-05 00:04:54,657] Login - Step 04: Click To Login Button
[INFO ] [2022-06-05 00:04:55,827] Login - Step 05: Verify 'My Account' Link is Displayed
[INFO ] [2022-06-05 00:04:56,021]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-06-05 00:04:56,022] Login - Step 06: Navigate To 'My Account' Page
[INFO ] [2022-06-05 00:04:56,740] Login - Step 07: Verify 'Customer Infor Page' is displayed
[INFO ] [2022-06-05 00:04:56,924]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-06-05 00:25:10,332] Register - Step 01: Navigate to Register Page
[INFO ] [2022-06-05 00:25:11,300] Register - Step 02: Enter to FirstName Textbox with value is 'Automation
[INFO ] [2022-06-05 00:25:11,474] Register - Step 03: Enter to LastName Textbox with value is 'FC
[INFO ] [2022-06-05 00:25:11,690] Register - Step 04: Enter to EmailAddress Textbox with value is 'afc8192@gmail.us
[INFO ] [2022-06-05 00:25:11,869] Register - Step 05: Enter to Password Textbox with value is '123456
[INFO ] [2022-06-05 00:25:12,043] Register - Step 06: Enter to Confirm Password Textbox with value is '123456
[INFO ] [2022-06-05 00:25:12,204] Register - Step 07: Click To Register Button
[INFO ] [2022-06-05 00:25:13,230] Register - Step 08: Verify Register successful Message is displayed
[INFO ] [2022-06-05 00:25:13,352]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-06-05 00:25:13,360] Register - Step 09: Click To Logout Link
[INFO ] [2022-06-05 00:25:14,358] Login - Step 01: Navigate To Login Page
[INFO ] [2022-06-05 00:25:15,178] Login - Step 02: Enter to emailAddress Textbox with value is 'afc8192@gmail.us
[INFO ] [2022-06-05 00:25:15,306] Login - Step 03: Enter to Password Textbox with value is '123456
[INFO ] [2022-06-05 00:25:15,427] Login - Step 04: Click To Login Button
[INFO ] [2022-06-05 00:25:16,363] Login - Step 05: Verify 'My Account' Link is Displayed
[INFO ] [2022-06-05 00:25:16,512]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-06-05 00:25:16,513] Login - Step 06: Navigate To 'My Account' Page
[INFO ] [2022-06-05 00:25:17,257] Login - Step 07: Verify 'Customer Infor Page' is displayed
[INFO ] [2022-06-05 00:25:17,384]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-06-05 00:25:29,390] Register - Step 01: Navigate to Register Page
[INFO ] [2022-06-05 00:25:30,327] Register - Step 02: Enter to FirstName Textbox with value is 'Automation
[INFO ] [2022-06-05 00:25:30,528] Register - Step 03: Enter to LastName Textbox with value is 'FC
[INFO ] [2022-06-05 00:25:30,713] Register - Step 04: Enter to EmailAddress Textbox with value is 'afc7633@gmail.us
[INFO ] [2022-06-05 00:25:30,869] Register - Step 05: Enter to Password Textbox with value is '123456
[INFO ] [2022-06-05 00:25:31,021] Register - Step 06: Enter to Confirm Password Textbox with value is '123456
[INFO ] [2022-06-05 00:25:31,143] Register - Step 07: Click To Register Button
[INFO ] [2022-06-05 00:25:32,174] Register - Step 08: Verify Register successful Message is displayed
[INFO ] [2022-06-05 00:25:32,263]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-06-05 00:25:32,263] Register - Step 09: Click To Logout Link
[INFO ] [2022-06-05 00:25:33,174] Login - Step 01: Navigate To Login Page
[INFO ] [2022-06-05 00:25:33,987] Login - Step 02: Enter to emailAddress Textbox with value is 'afc7633@gmail.us
[INFO ] [2022-06-05 00:25:34,114] Login - Step 03: Enter to Password Textbox with value is '123456
[INFO ] [2022-06-05 00:25:34,231] Login - Step 04: Click To Login Button
[INFO ] [2022-06-05 00:25:35,197] Login - Step 05: Verify 'My Account' Link is Displayed
[INFO ] [2022-06-05 00:25:35,316]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-06-05 00:25:35,316] Login - Step 06: Navigate To 'My Account' Page
[INFO ] [2022-06-05 00:25:35,996] Login - Step 07: Verify 'Customer Infor Page' is displayed
[INFO ] [2022-06-05 00:25:36,152]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-06-05 00:28:04,488] Register - Step 01: Navigate to Register Page
[INFO ] [2022-06-05 00:28:05,374] Register - Step 02: Enter to FirstName Textbox with value is 'Automation
[INFO ] [2022-06-05 00:28:05,629] Register - Step 03: Enter to LastName Textbox with value is 'FC
[INFO ] [2022-06-05 00:28:05,769] Register - Step 04: Enter to EmailAddress Textbox with value is 'afc4326@gmail.us
[INFO ] [2022-06-05 00:28:05,950] Register - Step 05: Enter to Password Textbox with value is '123456
[INFO ] [2022-06-05 00:28:06,044] Register - Step 06: Enter to Confirm Password Textbox with value is '123456
[INFO ] [2022-06-05 00:28:06,183] Register - Step 07: Click To Register Button
[INFO ] [2022-06-05 00:28:07,219] Register - Step 08: Verify Register successful Message is displayed
[INFO ] [2022-06-05 00:28:07,312]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-06-05 00:28:07,313] Register - Step 09: Click To Logout Link
[INFO ] [2022-06-05 00:28:08,213] Login - Step 01: Navigate To Login Page
[INFO ] [2022-06-05 00:28:09,006] Login - Step 02: Enter to emailAddress Textbox with value is 'afc4326@gmail.us
[INFO ] [2022-06-05 00:28:09,184] Login - Step 03: Enter to Password Textbox with value is '123456
[INFO ] [2022-06-05 00:28:09,295] Login - Step 04: Click To Login Button
[INFO ] [2022-06-05 00:28:10,325] Login - Step 05: Verify 'My Account' Link is Displayed
[INFO ] [2022-06-05 00:28:10,484]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-06-05 00:28:10,485] Login - Step 06: Navigate To 'My Account' Page
[INFO ] [2022-06-05 00:28:11,260] Login - Step 07: Verify 'Customer Infor Page' is displayed
[INFO ] [2022-06-05 00:28:11,413]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-06-05 00:28:22,723] Register - Step 01: Navigate to Register Page
[INFO ] [2022-06-05 00:28:23,830] Register - Step 02: Enter to FirstName Textbox with value is 'Automation
[INFO ] [2022-06-05 00:28:24,050] Register - Step 03: Enter to LastName Textbox with value is 'FC
[INFO ] [2022-06-05 00:28:24,250] Register - Step 04: Enter to EmailAddress Textbox with value is 'afc3467@gmail.us
[INFO ] [2022-06-05 00:28:24,402] Register - Step 05: Enter to Password Textbox with value is '123456
[INFO ] [2022-06-05 00:28:24,516] Register - Step 06: Enter to Confirm Password Textbox with value is '123456
[INFO ] [2022-06-05 00:28:24,619] Register - Step 07: Click To Register Button
[INFO ] [2022-06-05 00:28:25,648] Register - Step 08: Verify Register successful Message is displayed
[INFO ] [2022-06-05 00:28:25,753]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-06-05 00:28:25,753] Register - Step 09: Click To Logout Link
[INFO ] [2022-06-05 00:28:26,903] Login - Step 01: Navigate To Login Page
[INFO ] [2022-06-05 00:28:27,612] Login - Step 02: Enter to emailAddress Textbox with value is 'afc3467@gmail.us
[INFO ] [2022-06-05 00:28:27,712] Login - Step 03: Enter to Password Textbox with value is '123456
[INFO ] [2022-06-05 00:28:27,799] Login - Step 04: Click To Login Button
[INFO ] [2022-06-05 00:28:29,198] Login - Step 05: Verify 'My Account' Link is Displayed
[INFO ] [2022-06-05 00:28:29,288]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-06-05 00:28:29,289] Login - Step 06: Navigate To 'My Account' Page
[INFO ] [2022-06-05 00:28:30,130] Login - Step 07: Verify 'Customer Infor Page' is displayed
[INFO ] [2022-06-05 00:28:30,279]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-06-05 00:30:58,323] Register - Step 01: Navigate to Register Page
[INFO ] [2022-06-05 00:30:59,280] Register - Step 02: Enter to FirstName Textbox with value is 'Automation
[INFO ] [2022-06-05 00:30:59,547] Register - Step 03: Enter to LastName Textbox with value is 'FC
[INFO ] [2022-06-05 00:30:59,673] Register - Step 04: Enter to EmailAddress Textbox with value is 'afc346@gmail.us
[INFO ] [2022-06-05 00:30:59,841] Register - Step 05: Enter to Password Textbox with value is '123456
[INFO ] [2022-06-05 00:31:00,031] Register - Step 06: Enter to Confirm Password Textbox with value is '123456
[INFO ] [2022-06-05 00:31:00,173] Register - Step 07: Click To Register Button
[INFO ] [2022-06-05 00:31:01,223] Register - Step 08: Verify Register successful Message is displayed
[INFO ] [2022-06-05 00:31:01,344]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-06-05 00:31:01,346] Register - Step 09: Click To Logout Link
[INFO ] [2022-06-05 00:31:02,248] Login - Step 01: Navigate To Login Page
[INFO ] [2022-06-05 00:31:03,052] Login - Step 02: Enter to emailAddress Textbox with value is 'afc346@gmail.us
[INFO ] [2022-06-05 00:31:03,206] Login - Step 03: Enter to Password Textbox with value is '123456
[INFO ] [2022-06-05 00:31:03,350] Login - Step 04: Click To Login Button
[INFO ] [2022-06-05 00:31:04,244] Login - Step 05: Verify 'My Account' Link is Displayed
[INFO ] [2022-06-05 00:31:04,373]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-06-05 00:31:04,374] Login - Step 06: Navigate To 'My Account' Page
[INFO ] [2022-06-05 00:31:05,041] Login - Step 07: Verify 'Customer Infor Page' is displayed
[INFO ] [2022-06-05 00:31:05,163]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-06-05 00:31:17,181] Register - Step 01: Navigate to Register Page
[INFO ] [2022-06-05 00:31:18,074] Register - Step 02: Enter to FirstName Textbox with value is 'Automation
[INFO ] [2022-06-05 00:31:18,262] Register - Step 03: Enter to LastName Textbox with value is 'FC
[INFO ] [2022-06-05 00:31:18,421] Register - Step 04: Enter to EmailAddress Textbox with value is 'afc9372@gmail.us
[INFO ] [2022-06-05 00:31:18,582] Register - Step 05: Enter to Password Textbox with value is '123456
[INFO ] [2022-06-05 00:31:18,677] Register - Step 06: Enter to Confirm Password Textbox with value is '123456
[INFO ] [2022-06-05 00:31:18,845] Register - Step 07: Click To Register Button
[INFO ] [2022-06-05 00:31:19,939] Register - Step 08: Verify Register successful Message is displayed
[INFO ] [2022-06-05 00:31:20,029]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-06-05 00:31:20,029] Register - Step 09: Click To Logout Link
[INFO ] [2022-06-05 00:31:20,942] Login - Step 01: Navigate To Login Page
[INFO ] [2022-06-05 00:31:21,709] Login - Step 02: Enter to emailAddress Textbox with value is 'afc9372@gmail.us
[INFO ] [2022-06-05 00:31:21,820] Login - Step 03: Enter to Password Textbox with value is '123456
[INFO ] [2022-06-05 00:31:21,915] Login - Step 04: Click To Login Button
[INFO ] [2022-06-05 00:31:22,865] Login - Step 05: Verify 'My Account' Link is Displayed
[INFO ] [2022-06-05 00:31:22,964]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-06-05 00:31:22,964] Login - Step 06: Navigate To 'My Account' Page
[INFO ] [2022-06-05 00:31:23,636] Login - Step 07: Verify 'Customer Infor Page' is displayed
[INFO ] [2022-06-05 00:31:23,754]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-06-05 17:44:36,811] Register - Step 01: Navigate to Register Page
[INFO ] [2022-06-05 17:44:37,754] Register - Step 02: Enter to FirstName Textbox with value is 'Automation
[INFO ] [2022-06-05 17:44:37,961] Register - Step 03: Enter to LastName Textbox with value is 'FC
[INFO ] [2022-06-05 17:44:38,128] Register - Step 04: Enter to EmailAddress Textbox with value is 'afc9204@gmail.us
[INFO ] [2022-06-05 17:44:38,318] Register - Step 05: Enter to Password Textbox with value is '123456
[INFO ] [2022-06-05 17:44:38,514] Register - Step 06: Enter to Confirm Password Textbox with value is '123456
[INFO ] [2022-06-05 17:44:38,706] Register - Step 07: Click To Register Button
[INFO ] [2022-06-05 17:44:39,794] Register - Step 08: Verify Register successful Message is displayed
[INFO ] [2022-06-05 17:44:39,941]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-06-05 17:44:39,943] Register - Step 09: Click To Logout Link
[INFO ] [2022-06-05 17:44:41,436] Login - Step 01: Navigate To Login Page
[INFO ] [2022-06-05 17:44:42,158] Login - Step 02: Enter to emailAddress Textbox with value is 'afc9204@gmail.us
[INFO ] [2022-06-05 17:44:42,301] Login - Step 03: Enter to Password Textbox with value is '123456
[INFO ] [2022-06-05 17:44:42,475] Login - Step 04: Click To Login Button
[INFO ] [2022-06-05 17:44:43,479] Login - Step 05: Verify 'My Account' Link is Displayed
[INFO ] [2022-06-05 17:44:43,647]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-06-05 17:44:43,647] Login - Step 06: Navigate To 'My Account' Page
[INFO ] [2022-06-05 17:44:44,422] Login - Step 07: Verify 'Customer Infor Page' is displayed
[INFO ] [2022-06-05 17:44:44,562]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-06-05 17:52:13,840] Register - Step 01: Navigate to Register Page
[INFO ] [2022-06-05 17:52:14,766] Register - Step 02: Enter to FirstName Textbox with value is 'Automation
[INFO ] [2022-06-05 17:52:14,976] Register - Step 03: Enter to LastName Textbox with value is 'FC
[INFO ] [2022-06-05 17:52:15,113] Register - Step 04: Enter to EmailAddress Textbox with value is 'afc7846@gmail.us
[INFO ] [2022-06-05 17:52:15,265] Register - Step 05: Enter to Password Textbox with value is '123456
[INFO ] [2022-06-05 17:52:15,408] Register - Step 06: Enter to Confirm Password Textbox with value is '123456
[INFO ] [2022-06-05 17:52:15,546] Register - Step 07: Click To Register Button
[INFO ] [2022-06-05 17:52:16,604] Register - Step 08: Verify Register successful Message is displayed
[INFO ] [2022-06-05 17:52:16,730]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-06-05 17:52:16,732] Register - Step 09: Click To Logout Link
[INFO ] [2022-06-05 17:52:18,190] Login - Step 01: Navigate To Login Page
[INFO ] [2022-06-05 17:52:18,826] Login - Step 02: Enter to emailAddress Textbox with value is 'afc7846@gmail.us
[INFO ] [2022-06-05 17:52:18,957] Login - Step 03: Enter to Password Textbox with value is '123456
[INFO ] [2022-06-05 17:52:19,073] Login - Step 04: Click To Login Button
[INFO ] [2022-06-05 17:52:20,050] Login - Step 05: Verify 'My Account' Link is Displayed
[INFO ] [2022-06-05 17:52:20,180]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-06-05 17:52:20,180] Login - Step 06: Navigate To 'My Account' Page
[INFO ] [2022-06-05 17:52:20,867] Login - Step 07: Verify 'Customer Infor Page' is displayed
[INFO ] [2022-06-05 17:52:20,982]  -------------------------- FAILED -------------------------- 
[INFO ] [2022-06-05 17:54:15,097] Register - Step 01: Navigate to Register Page
[INFO ] [2022-06-05 17:54:16,014] Register - Step 02: Enter to FirstName Textbox with value is 'Automation
[INFO ] [2022-06-05 17:54:16,256] Register - Step 03: Enter to LastName Textbox with value is 'FC
[INFO ] [2022-06-05 17:54:16,412] Register - Step 04: Enter to EmailAddress Textbox with value is 'afc7717@gmail.us
[INFO ] [2022-06-05 17:54:16,603] Register - Step 05: Enter to Password Textbox with value is '123456
[INFO ] [2022-06-05 17:54:16,738] Register - Step 06: Enter to Confirm Password Textbox with value is '123456
[INFO ] [2022-06-05 17:54:16,850] Register - Step 07: Click To Register Button
[INFO ] [2022-06-05 17:54:17,878] Register - Step 08: Verify Register successful Message is displayed
[INFO ] [2022-06-05 17:54:17,993]  -------------------------- FAILED -------------------------- 
